experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
49183,33,1.0,1192,3.0,47.0
49500,34,0.0,317,3.0,47.0
50400,34,0.0,1217,3.0,47.0
50803,34,1.0,1620,3.0,48.0
51300,35,0.0,497,3.0,48.0
52200,35,3.0,1397,3.0,51.0
52352,35,3.0,1549,3.0,51.0
53100,36,3.0,748,3.0,54.0
54000,36,4.0,1648,4.0,55.0
54040,36,4.0,1688,4.0,55.0
54900,37,1.0,860,4.0,56.0
55420,37,3.0,1380,4.0,58.0
55800,38,1.0,380,4.0,59.0
56700,38,2.0,1280,4.0,60.0
57586,38,2.0,2166,4.0,60.0
57600,39,0.0,14,4.0,60.0
58500,39,1.0,914,4.0,61.0
59400,39,3.0,1814,4.0,63.0
59744,39,3.0,2158,4.0,63.0
60300,40,1.0,556,4.0,64.0
61161,40,4.0,1417,4.0,67.0
61200,41,0.0,39,4.0,67.0
62100,41,0.0,939,4.0,67.0
62919,41,0.0,1758,4.0,67.0
63000,42,0.0,81,4.0,67.0
63900,42,0.0,981,4.0,67.0
64479,42,2.0,1560,4.0,69.0
64800,43,0.0,321,4.0,69.0
65377,43,0.0,898,4.0,69.0
65700,44,0.0,323,4.0,69.0
66600,44,1.0,1223,4.0,70.0
67297,44,2.0,1920,4.0,71.0
67500,45,0.0,203,4.0,71.0
68400,45,0.0,1103,4.0,71.0
68789,45,1.0,1492,4.0,72.0
69300,46,0.0,511,4.0,72.0
70200,46,1.0,1411,4.0,73.0
70295,46,1.0,1506,4.0,73.0
71100,47,0.0,805,4.0,73.0
71973,47,0.0,1678,4.0,73.0
72000,48,0.0,27,4.0,73.0
72900,48,1.0,927,4.0,74.0
73800,48,2.0,1827,4.0,75.0
74431,48,2.0,2458,4.0,75.0
74700,49,0.0,269,4.0,75.0
75600,49,1.0,1169,4.0,76.0
75852,49,2.0,1421,4.0,77.0
76500,50,1.0,648,4.0,78.0
77400,50,3.0,1548,4.0,80.0
77666,50,3.0,1814,4.0,80.0
78300,51,0.0,634,4.0,80.0
79200,51,1.0,1534,4.0,81.0
79375,51,1.0,1709,4.0,81.0
80100,52,1.0,725,4.0,82.0
80901,52,2.0,1526,4.0,83.0
81000,53,0.0,99,4.0,83.0
81900,53,1.0,999,4.0,84.0
82219,53,1.0,1318,4.0,84.0
82800,54,0.0,581,4.0,84.0
83700,54,1.0,1481,4.0,85.0
83897,54,1.0,1678,4.0,85.0
84600,55,1.0,703,4.0,86.0
85395,55,1.0,1498,4.0,86.0
85500,56,0.0,105,4.0,86.0
86400,56,0.0,1005,4.0,86.0
87133,56,0.0,1738,4.0,86.0
87300,57,0.0,167,4.0,86.0
88200,57,0.0,1067,4.0,86.0
88325,57,1.0,1192,4.0,87.0
89100,58,0.0,775,4.0,87.0
90000,58,0.0,1675,4.0,87.0
90900,58,0.0,2575,4.0,87.0
90911,58,0.0,2586,4.0,87.0
91800,59,0.0,889,4.0,87.0
92349,59,0.0,1438,4.0,87.0
92700,60,0.0,351,4.0,87.0
93600,60,2.0,1251,4.0,89.0
93847,60,2.0,1498,4.0,89.0
94500,61,0.0,653,4.0,89.0
95105,61,0.0,1258,4.0,89.0
95400,62,0.0,295,4.0,89.0
96300,62,2.0,1195,4.0,91.0
96665,62,3.0,1560,4.0,92.0
97200,63,0.0,535,4.0,92.0
97666,63,1.0,1001,4.0,93.0
98100,64,0.0,434,4.0,93.0
99000,64,0.0,1334,4.0,93.0
99414,64,1.0,1748,4.0,94.0
99900,65,0.0,486,4.0,94.0
100320,65,0.0,906,4.0,94.0
100800,66,0.0,480,4.0,94.0
101638,66,0.0,1318,4.0,94.0
101700,67,0.0,62,4.0,94.0
102600,67,1.0,962,4.0,95.0
103318,67,2.0,1680,4.0,96.0
103500,68,0.0,182,4.0,96.0
104400,68,1.0,1082,4.0,97.0
104638,68,2.0,1320,4.0,98.0
105300,69,0.0,662,4.0,98.0
106200,69,0.0,1562,4.0,98.0
106496,69,0.0,1858,4.0,98.0
107100,70,0.0,604,4.0,98.0
108000,70,0.0,1504,4.0,98.0
108714,70,0.0,2218,4.0,98.0
108900,71,0.0,186,4.0,98.0
109800,71,0.0,1086,4.0,98.0
110326,71,2.0,1612,4.0,100.0
110700,72,1.0,374,4.0,101.0
111292,72,1.0,966,4.0,101.0
111600,73,0.0,308,4.0,101.0
112500,73,0.0,1208,4.0,101.0
113030,73,1.0,1738,4.0,102.0
113400,74,0.0,370,4.0,102.0
114300,74,0.0,1270,4.0,102.0
115200,74,0.0,2170,4.0,102.0
115422,74,1.0,2392,4.0,103.0
116100,75,0.0,678,4.0,103.0
117000,75,0.0,1578,4.0,103.0
117900,75,0.0,2478,4.0,103.0
118242,75,1.0,2820,4.0,104.0
118800,76,0.0,558,4.0,104.0
119328,76,0.0,1086,4.0,104.0
119700,77,0.0,372,4.0,104.0
120460,77,2.0,1132,4.0,106.0
120600,78,1.0,140,4.0,107.0
121500,78,1.0,1040,4.0,107.0
121906,78,2.0,1446,4.0,108.0
122400,79,1.0,494,4.0,109.0
123300,79,2.0,1394,4.0,110.0
123346,79,2.0,1440,4.0,110.0
124200,80,0.0,854,4.0,110.0
125100,80,0.0,1754,4.0,110.0
125384,80,0.0,2038,4.0,110.0
126000,81,0.0,616,4.0,110.0
126900,81,0.0,1516,4.0,110.0
127122,81,0.0,1738,4.0,110.0
127800,82,0.0,678,4.0,110.0
128320,82,0.0,1198,4.0,110.0
128700,83,0.0,380,4.0,110.0
129600,83,1.0,1280,4.0,111.0
129878,83,1.0,1558,4.0,111.0
130500,84,0.0,622,4.0,111.0
131400,84,0.0,1522,4.0,111.0
131736,84,0.0,1858,4.0,111.0
132300,85,0.0,564,4.0,111.0
133200,85,0.0,1464,4.0,111.0
134100,85,0.0,2364,4.0,111.0
134848,85,1.0,3112,4.0,112.0
135000,86,0.0,152,4.0,112.0
135900,86,1.0,1052,4.0,113.0
136234,86,1.0,1386,4.0,113.0
136800,87,1.0,566,4.0,114.0
137649,87,2.0,1415,4.0,115.0
137700,88,0.0,51,4.0,115.0
138600,88,1.0,951,4.0,116.0
138991,88,1.0,1342,4.0,116.0
139500,89,0.0,509,4.0,116.0
140346,89,0.0,1355,4.0,116.0
