experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,0,900,0,-5.0
1800,0,0,1800,0,-12.0
2700,0,0,2700,0,-18.0
3057,0,0,3057,0,-21.0
3600,1,0,543,0,-24.0
4500,1,0,1443,0,-30.0
5400,1,0,2343,0,-36.0
6114,1,0,3057,0,-42.0
6300,2,0,186,0,-42.0
7200,2,0,1086,0,-48.0
8100,2,0,1986,0,-55.0
9000,2,0,2886,0,-61.0
9171,2,0,3057,0,-63.0
9900,3,0,729,0,-67.0
10800,3,0,1629,0,-73.0
11700,3,0,2529,0,-79.0
12543,3,0,3372,0,-84.0
12600,4,0,57,0,-84.0
13500,4,0,957,0,-90.0
14400,4,0,1857,0,-95.0
15300,4,0,2757,0,-102.0
15672,4,0,3129,0,-105.0
16200,5,0,528,0,-107.0
17100,5,0,1428,0,-113.0
18000,5,0,2328,0,-120.0
18801,5,0,3129,0,-126.0
18900,6,0,99,0,-126.0
19800,6,0,999,0,-132.0
20700,6,0,1899,0,-138.0
21600,6,0,2799,0,-145.0
21858,6,0,3057,0,-147.0
22500,7,0,642,0,-150.0
23400,7,0,1542,0,-157.0
24300,7,0,2442,0,-163.0
25155,7,0,3297,0,-168.0
25200,8,0,45,0,-168.0
26100,8,0,945,0,-173.0
27000,8,0,1845,0,-180.0
27900,8,0,2745,0,-185.0
28452,8,0,3297,0,-189.0
28800,9,0,348,0,-190.0
29700,9,0,1248,0,-197.0
30600,9,0,2148,0,-202.0
31500,9,0,3048,0,-209.0
31624,9,0,3172,0,-210.0
32400,10,0,776,0,-214.0
33300,10,0,1676,0,-221.0
34200,10,0,2576,0,-227.0
34681,10,0,3057,0,-231.0
35100,11,0,419,0,-233.0
36000,11,0,1319,0,-239.0
36900,11,0,2219,0,-246.0
37738,11,0,3057,0,-252.0
37800,12,0,62,0,-252.0
38700,12,0,962,0,-257.0
39600,12,0,1862,0,-263.0
