experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,0,900,0,-5.0
1800,0,0,1800,0,-12.0
2700,0,0,2700,0,-18.0
3057,0,0,3057,0,-21.0
3600,1,0,543,0,-24.0
4500,1,0,1443,0,-30.0
5400,1,0,2343,0,-36.0
6114,1,0,3057,0,-42.0
6300,2,0,186,0,-42.0
7200,2,0,1086,0,-48.0
8100,2,0,1986,0,-55.0
9000,2,0,2886,0,-61.0
9171,2,0,3057,0,-63.0
9900,3,0,729,0,-67.0
10800,3,0,1629,0,-72.0
11700,3,0,2529,0,-78.0
12468,3,0,3297,0,-84.0
12600,4,0,132,0,-84.0
13500,4,0,1032,0,-90.0
14400,4,0,1932,0,-96.0
15300,4,0,2832,0,-103.0
15525,4,0,3057,0,-105.0
16200,5,0,675,0,-108.0
17100,5,0,1575,0,-113.0
18000,5,0,2475,0,-120.0
18822,5,0,3297,0,-126.0
18900,6,0,78,0,-126.0
19800,6,0,978,0,-132.0
20700,6,0,1878,0,-138.0
21600,6,0,2778,0,-145.0
21879,6,0,3057,0,-147.0
22500,7,0,621,0,-150.0
23400,7,0,1521,0,-157.0
24300,7,0,2421,0,-163.0
24936,7,0,3057,0,-168.0
25200,8,0,264,0,-169.0
26100,8,0,1164,0,-175.0
27000,8,0,2064,0,-181.0
27900,8,0,2964,0,-188.0
27993,8,0,3057,0,-189.0
28800,9,0,807,0,-193.0
29700,9,0,1707,0,-200.0
30600,9,0,2607,0,-206.0
31050,9,0,3057,0,-210.0
31500,10,0,450,0,-212.0
32400,10,0,1350,0,-218.0
33300,10,0,2250,0,-225.0
34107,10,0,3057,0,-231.0
34200,11,0,93,0,-231.0
35100,11,0,993,0,-237.0
36000,11,0,1893,0,-243.0
36900,11,0,2793,0,-250.0
37164,11,0,3057,0,-252.0
37800,12,0,636,0,-255.0
38700,12,0,1536,0,-262.0
39600,12,0,2436,0,-268.0
