experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
92700,40,380.0,3520,380.0,5020.0
93600,40,450.0,4420,450.0,5090.0
93758,40,475.0,4578,475.0,5115.0
94500,41,40.0,742,475.0,5155.0
94948,41,50.0,1190,475.0,5165.0
95400,42,25.0,452,475.0,5190.0
96070,42,50.0,1122,475.0,5215.0
96300,43,0.0,230,475.0,5215.0
97200,43,50.0,1130,475.0,5265.0
98100,43,95.0,2030,475.0,5310.0
98762,43,130.0,2692,475.0,5345.0
99000,44,0.0,238,475.0,5345.0
99880,44,15.0,1118,475.0,5360.0
99900,45,0.0,20,475.0,5360.0
100800,45,40.0,920,475.0,5400.0
101078,45,55.0,1198,475.0,5415.0
101700,46,10.0,622,475.0,5425.0
102600,46,40.0,1522,475.0,5455.0
103500,46,120.0,2422,475.0,5535.0
103788,46,120.0,2710,475.0,5535.0
104400,47,5.0,612,475.0,5540.0
105180,47,10.0,1392,475.0,5545.0
105300,48,0.0,120,475.0,5545.0
106192,48,5.0,1012,475.0,5550.0
106200,49,0.0,8,475.0,5550.0
107100,49,0.0,908,475.0,5550.0
107426,49,5.0,1234,475.0,5555.0
108000,50,30.0,574,475.0,5585.0
108900,50,45.0,1474,475.0,5600.0
109800,50,60.0,2374,475.0,5615.0
110700,50,175.0,3274,475.0,5730.0
110730,50,175.0,3304,475.0,5730.0
111600,51,50.0,870,475.0,5780.0
112500,51,65.0,1770,475.0,5795.0
112806,51,70.0,2076,475.0,5800.0
113400,52,55.0,594,475.0,5855.0
114192,52,110.0,1386,475.0,5910.0
114300,53,0.0,108,475.0,5910.0
115200,53,10.0,1008,475.0,5920.0
115646,53,15.0,1454,475.0,5925.0
116100,54,5.0,454,475.0,5930.0
117000,54,65.0,1354,475.0,5990.0
117622,54,140.0,1976,475.0,6065.0
117900,55,5.0,278,475.0,6070.0
118800,55,220.0,1178,475.0,6285.0
119700,55,260.0,2078,475.0,6325.0
120170,55,295.0,2548,475.0,6360.0
120600,56,25.0,430,475.0,6385.0
121500,56,55.0,1330,475.0,6415.0
122400,56,70.0,2230,475.0,6430.0
122704,56,105.0,2534,475.0,6465.0
123300,57,50.0,596,475.0,6515.0
124200,57,120.0,1496,475.0,6585.0
125100,57,195.0,2396,475.0,6660.0
126000,57,220.0,3296,475.0,6685.0
126016,57,220.0,3312,475.0,6685.0
126900,58,60.0,884,475.0,6745.0
127800,58,90.0,1784,475.0,6775.0
128700,58,110.0,2684,475.0,6795.0
129528,58,135.0,3512,475.0,6820.0
129600,59,0.0,72,475.0,6820.0
