experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
70200,8,0.0,4657,3.0,10.0
71100,8,0.0,5557,3.0,10.0
72000,8,0.0,6457,3.0,10.0
72900,8,0.0,7357,3.0,10.0
73736,8,0.0,8193,3.0,10.0
73800,9,0.0,64,3.0,10.0
74700,9,0.0,964,3.0,10.0
75600,9,0.0,1864,3.0,10.0
76500,9,0.0,2764,3.0,10.0
77400,9,0.0,3664,3.0,10.0
78300,9,0.0,4564,3.0,10.0
79200,9,1.0,5464,3.0,11.0
80100,9,1.0,6364,3.0,11.0
81000,9,2.0,7264,3.0,12.0
81900,9,2.0,8164,3.0,12.0
81929,9,2.0,8193,3.0,12.0
82800,10,0.0,871,3.0,12.0
83700,10,0.0,1771,3.0,12.0
84600,10,0.0,2671,3.0,12.0
85500,10,0.0,3571,3.0,12.0
86400,10,0.0,4471,3.0,12.0
87300,10,0.0,5371,3.0,12.0
88200,10,0.0,6271,3.0,12.0
89100,10,0.0,7171,3.0,12.0
90000,10,0.0,8071,3.0,12.0
90122,10,0.0,8193,3.0,12.0
90900,11,0.0,778,3.0,12.0
91800,11,0.0,1678,3.0,12.0
92700,11,0.0,2578,3.0,12.0
93600,11,0.0,3478,3.0,12.0
94500,11,0.0,4378,3.0,12.0
95400,11,0.0,5278,3.0,12.0
96300,11,0.0,6178,3.0,12.0
97200,11,0.0,7078,3.0,12.0
98100,11,0.0,7978,3.0,12.0
98315,11,0.0,8193,3.0,12.0
99000,12,0.0,685,3.0,12.0
99900,12,0.0,1585,3.0,12.0
100800,12,0.0,2485,3.0,12.0
101700,12,2.0,3385,3.0,14.0
102600,12,2.0,4285,3.0,14.0
103500,12,2.0,5185,3.0,14.0
104400,12,2.0,6085,3.0,14.0
105300,12,2.0,6985,3.0,14.0
106200,12,2.0,7885,3.0,14.0
106507,12,2.0,8192,3.0,14.0
107100,13,0.0,593,3.0,14.0
108000,13,0.0,1493,3.0,14.0
108900,13,0.0,2393,3.0,14.0
109800,13,0.0,3293,3.0,14.0
110700,13,0.0,4193,3.0,14.0
111600,13,0.0,5093,3.0,14.0
112500,13,0.0,5993,3.0,14.0
113400,13,0.0,6893,3.0,14.0
114300,13,0.0,7793,3.0,14.0
114700,13,0.0,8193,3.0,14.0
115200,14,0.0,500,3.0,14.0
116100,14,0.0,1400,3.0,14.0
117000,14,0.0,2300,3.0,14.0
117900,14,1.0,3200,3.0,15.0
118800,14,1.0,4100,3.0,15.0
119700,14,1.0,5000,3.0,15.0
120600,14,1.0,5900,3.0,15.0
121500,14,1.0,6800,3.0,15.0
122400,14,1.0,7700,3.0,15.0
122893,14,1.0,8193,3.0,15.0
123300,15,0.0,407,3.0,15.0
124200,15,0.0,1307,3.0,15.0
125100,15,0.0,2207,3.0,15.0
126000,15,0.0,3107,3.0,15.0
126900,15,1.0,4007,3.0,16.0
127800,15,2.0,4907,3.0,17.0
128700,15,2.0,5807,3.0,17.0
