experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
28012,8,280.0,3238,840.0,3620.0
28800,9,60.0,788,840.0,3680.0
29700,9,120.0,1688,840.0,3740.0
30600,9,280.0,2588,840.0,3900.0
31500,9,420.0,3488,840.0,4040.0
32241,9,480.0,4229,840.0,4100.0
32400,10,0.0,159,840.0,4100.0
33300,10,160.0,1059,840.0,4260.0
34200,10,420.0,1959,840.0,4520.0
35100,10,520.0,2859,840.0,4620.0
35747,10,520.0,3506,840.0,4620.0
36000,11,0.0,253,840.0,4620.0
36900,11,200.0,1153,840.0,4820.0
37800,11,60.0,2053,840.0,4680.0
38700,11,120.0,2953,840.0,4740.0
38925,11,120.0,3178,840.0,4740.0
39600,12,60.0,675,840.0,4800.0
40500,12,80.0,1575,840.0,4820.0
41400,12,80.0,2475,840.0,4820.0
41983,12,140.0,3058,840.0,4880.0
42300,13,60.0,317,840.0,4940.0
43200,13,180.0,1217,840.0,5060.0
44100,13,180.0,2117,840.0,5060.0
45000,13,180.0,3017,840.0,5060.0
45827,13,300.0,3844,840.0,5180.0
45900,14,0.0,73,840.0,5180.0
46800,14,0.0,973,840.0,5180.0
47700,14,120.0,1873,840.0,5300.0
48090,14,260.0,2263,840.0,5440.0
48600,15,20.0,510,840.0,5460.0
49500,15,120.0,1410,840.0,5560.0
50400,15,200.0,2310,840.0,5640.0
51300,15,300.0,3210,840.0,5740.0
51820,15,1300.0,3730,1300.0,6740.0
52200,16,0.0,380,1300.0,6740.0
53100,16,180.0,1280,1300.0,6920.0
54000,16,280.0,2180,1300.0,7020.0
54900,16,340.0,3080,1300.0,7080.0
54938,16,340.0,3118,1300.0,7080.0
55800,17,140.0,862,1300.0,7220.0
56700,17,220.0,1762,1300.0,7300.0
57600,17,220.0,2662,1300.0,7300.0
57696,17,220.0,2758,1300.0,7300.0
58500,18,160.0,804,1300.0,7460.0
59400,18,160.0,1704,1300.0,7460.0
60300,18,420.0,2604,1300.0,7720.0
61200,18,440.0,3504,1300.0,7740.0
61560,18,440.0,3864,1300.0,7740.0
62100,19,0.0,540,1300.0,7740.0
63000,19,100.0,1440,1300.0,7840.0
63900,19,360.0,2340,1300.0,8100.0
64800,19,500.0,3240,1300.0,8240.0
65700,19,500.0,4140,1300.0,8240.0
65749,19,500.0,4189,1300.0,8240.0
66600,20,60.0,851,1300.0,8300.0
67500,20,220.0,1751,1300.0,8460.0
67972,20,280.0,2223,1300.0,8520.0
68400,21,40.0,428,1300.0,8560.0
69300,21,120.0,1328,1300.0,8640.0
70200,21,120.0,2228,1300.0,8640.0
71100,21,120.0,3128,1300.0,8640.0
71836,21,180.0,3864,1300.0,8700.0
72000,22,0.0,164,1300.0,8700.0
72900,22,60.0,1064,1300.0,8760.0
73800,22,180.0,1964,1300.0,8880.0
74700,22,300.0,2864,1300.0,9000.0
75600,22,300.0,3764,1300.0,9000.0
75680,22,300.0,3844,1300.0,9000.0
76500,23,160.0,820,1300.0,9160.0
77400,23,200.0,1720,1300.0,9200.0
77943,23,240.0,2263,1300.0,9240.0
78300,24,120.0,357,1300.0,9360.0
79200,24,180.0,1257,1300.0,9420.0
80100,24,180.0,2157,1300.0,9420.0
81000,24,220.0,3057,1300.0,9460.0
81827,24,320.0,3884,1300.0,9560.0
81900,25,0.0,73,1300.0,9560.0
82800,25,40.0,973,1300.0,9600.0
83700,25,100.0,1873,1300.0,9660.0
84329,25,160.0,2502,1300.0,9720.0
84600,26,60.0,271,1300.0,9780.0
85500,26,60.0,1171,1300.0,9780.0
86400,26,160.0,2071,1300.0,9880.0
86727,26,160.0,2398,1300.0,9880.0
87300,27,40.0,573,1300.0,9920.0
88200,27,220.0,1473,1300.0,10100.0
89100,27,340.0,2373,1300.0,10220.0
90000,27,340.0,3273,1300.0,10220.0
90865,27,400.0,4138,1300.0,10280.0
90900,28,0.0,35,1300.0,10280.0
91800,28,80.0,935,1300.0,10360.0
92700,28,80.0,1835,1300.0,10360.0
93600,28,180.0,2735,1300.0,10460.0
93770,28,180.0,2905,1300.0,10460.0
94500,29,100.0,730,1300.0,10560.0
95400,29,200.0,1630,1300.0,10660.0
96300,29,420.0,2530,1300.0,10880.0
97156,29,420.0,3386,1300.0,10880.0
97200,30,0.0,44,1300.0,10880.0
98100,30,140.0,944,1300.0,11020.0
99000,30,340.0,1844,1300.0,11220.0
99439,30,400.0,2283,1300.0,11280.0
99900,31,200.0,461,1300.0,11480.0
100800,31,360.0,1361,1300.0,11640.0
101700,31,620.0,2261,1300.0,11900.0
102600,31,760.0,3161,1300.0,12040.0
103500,31,820.0,4061,1300.0,12100.0
103568,31,820.0,4129,1300.0,12100.0
