experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,3.0,900,3.0,3.0
1800,0,6.0,1800,6.0,6.0
2700,0,10.0,2700,10.0,10.0
3600,0,12.0,3600,12.0,12.0
4500,0,14.0,4500,14.0,14.0
