experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,0.0,900,0,0.0
1800,0,0.0,1800,0,0.0
2700,0,1.0,2700,1.0,1.0
3600,0,2.0,3600,2.0,2.0
4500,0,4.0,4500,4.0,4.0
5400,0,5.0,5400,5.0,5.0
6300,0,5.0,6300,5.0,5.0
